lead_id,activity_timestamp,activity_value,points
1,2021-03-12,Free Community Edition: DataSec Auditor for Active Directory: Free Community Edition,15
2,2021-03-05,Free Community Edition: DataSec Auditor for Windows File Servers: Free Community Edition,15
3,2020-09-03,Free Trial: DataSec Classification for Nutanix Files,40
3,2020-09-08,DataSec Password Expiration Notifier,8
4,2021-03-04,Free Trial: DataSec Classification for Nutanix Files,40
5,2021-05-03,Launch In-Browser Demo: DataSec Classification for SharePoint,15
6,2020-08-24,Launch In-Browser Demo: DataSec Auditor for Active Directory,15
7,2020-05-24,White Paper: Active Directory Security Best Practices,2
7,2020-06-05,DataSec Bulk Password Reset,8
8,2021-06-13,Free Community Edition: DataSec Auditor for Active Directory: Free Community Edition,15
9,2020-10-13,Launch In-Browser Demo: DataSec Auditor for NetApp,15
9,2020-10-23,DataSec Disk Space Monitor,8
9,2020-11-08,Free Trial: DataSec Auditor for Oracle Database,40
10,2020-05-28,Get a Demo: DataSec Auditor for Windows File Servers,40
11,2020-06-04,Launch In-Browser Demo: DataSec Auditor for Active Directory,15
12,2021-02-27,Get a Demo: DataSec Auditor for Synology,40
12,2021-03-18,Free Trial: DataSec Auditor for Active Directory,40
12,2021-03-25,Ebook: Windows Server Hardening Guide,2
13,2021-06-16,Launch In-Browser Demo: DataSec Auditor for Synology,15
14,2019-12-27,Webinar Registration: Discover and Secure Sensitive Data with DataSec Classification,5
14,2020-01-09,Request a Quote: DataSec Classification for Windows File Servers,40
15,2020-03-18,Launch In-Browser Demo: DataSec Auditor for Windows File Servers,15
15,2020-03-31,Get a Demo: DataSec Auditor for Qumulo,40
16,2020-08-05,Ebook: Privileged Access Management Fundamentals,2
16,2020-08-18,DataSec Flashlight for NetSuite,8
16,2020-09-01,White Paper: PCI DSS Compliance Checklist for IT Teams,2
16,2020-09-11,White Paper: HIPAA Compliance for IT Auditors,2
17,2020-10-17,Get a Demo: DataSec Auditor for Windows Server,40
18,2021-04-27,Get a Demo: DataSec Classification for Nutanix Files,40
19,2021-06-17,DataSec Password Expiration Notifier,8
19,2021-06-29,Get a Demo: DataSec Classification for Windows File Servers,40
20,2021-04-18,Free Community Edition: DataSec Auditor for Windows File Servers: Free Community Edition,15
21,2021-02-07,Launch In-Browser Demo: DataSec Classification for Azure Files,15
22,2020-12-06,Free Trial: DataSec Auditor for SQL Server,40
22,2020-12-09,Ebook: Windows Server Hardening Guide,2
23,2021-04-07,DataSec Password Expiration Notifier,8
23,2021-04-15,White Paper: PCI DSS Compliance Checklist for IT Teams,2
24,2020-01-13,Launch In-Browser Demo: DataSec Auditor for NetApp,15
25,2021-02-23,Launch In-Browser Demo: DataSec Auditor for Active Directory,15
26,2020-03-14,Launch In-Browser Demo: DataSec Auditor for Exchange,15
27,2020-01-17,Free Trial: DataSec Classification for Azure Files,40
28,2020-12-16,Launch In-Browser Demo: DataSec Classification for NetApp,15
29,2020-06-27,Launch In-Browser Demo: DataSec Classification for Azure Files,15
30,2020-11-30,Launch In-Browser Demo: DataSec Auditor for Active Directory,15
31,2021-04-12,DataSec Flashlight for NetSuite,8
31,2021-04-16,DataSec Effective Permissions Reporting Tool,8
31,2021-04-30,Free Trial: DataSec Classification for SharePoint,40
31,2021-05-16,DataSec Password Expiration Notifier,8
32,2020-11-08,Request a Quote: DataSec Classification for Azure Files,40
33,2020-01-25,Free Trial: DataSec Classification for SharePoint,40
34,2020-12-16,Webinar Attendance: Block Insider Threats Where They Start: At the Endpoint,10
35,2020-03-14,Free Community Edition: DataSec Auditor for Active Directory: Free Community Edition,15
36,2021-05-21,DataSec Flashlight for NetSuite,8
36,2021-05-26,Get a Demo: DataSec Classification for Nutanix Files,40
37,2020-09-12,Free Trial: DataSec Auditor for Qumulo,40
38,2020-08-25,Webinar Attendance: Mastering Endpoint Management with DataSec,10
39,2021-04-22,Free Community Edition: DataSec Auditor for Windows Server: Free Community Edition,15
40,2020-04-28,Get a Demo: DataSec Auditor for Windows File Servers,40
41,2021-03-06,Ebook: Windows Server Hardening Guide,2
41,2021-03-14,Request a Quote: DataSec Auditor for Active Directory,40
42,2020-09-17,Free Trial: DataSec Auditor for Windows File Servers,40
43,2020-08-01,Webinar Attendance: Enhance Your Data Loss Prevention Strategy with DataSec Endpoint Protector,10
44,2020-08-29,Get a Demo: DataSec Auditor for Windows Server,40
45,2021-06-04,Launch In-Browser Demo: DataSec Auditor for Dell Data Storage,15
46,2020-04-05,Free Community Edition: DataSec Auditor for Windows Server: Free Community Edition,15
47,2020-02-28,Launch In-Browser Demo: DataSec Auditor for Windows Server,15
47,2020-03-15,Request a Quote: DataSec Auditor for Nutanix Files,40
48,2020-11-28,Launch In-Browser Demo: DataSec Classification for SharePoint,15
49,2020-01-10,Launch In-Browser Demo: DataSec Classification for Nutanix Files,15
50,2021-04-28,Get a Demo: DataSec Classification for Windows File Servers,40
51,2020-12-07,Launch In-Browser Demo: DataSec Auditor for Exchange,15
52,2020-06-07,Free Community Edition: DataSec Auditor for Windows Server: Free Community Edition,15
52,2020-06-19,Launch In-Browser Demo: DataSec Auditor for Windows Server,15
53,2020-10-04,Webinar Attendance: Identify and Reduce Risks Around Sensitive Data with DataSec Access Analyzer,10
54,2020-09-17,White Paper: Preventing Data Loss - A DLP Primer,2
54,2020-09-21,Free Trial: DataSec Auditor for Windows File Servers,40
54,2020-10-09,"Webinar Registration: Ransomware Unmasked: Tactics, Entry Points, and Real-World Lessons",5
54,2020-10-20,DataSec Account Lockout Examiner,8
55,2020-12-02,Request a Quote: DataSec Classification for NetApp,40
56,2020-06-03,Free Trial: DataSec Auditor for Active Directory,40
57,2020-01-09,DataSec Effective Permissions Reporting Tool,8
57,2020-01-12,Free Trial: DataSec Auditor for Active Directory,40
57,2020-01-15,DataSec Account Lockout Examiner,8
57,2020-01-30,Request a Quote: DataSec Classification for SharePoint,40
58,2021-01-22,Free Community Edition: DataSec Auditor for Windows File Servers: Free Community Edition,15
59,2021-03-04,Launch In-Browser Demo: DataSec Classification for Azure Files,15
60,2020-04-03,Free Trial: DataSec Auditor for Active Directory,40
61,2021-04-26,Request a Quote: DataSec Auditor for Windows File Servers,40
62,2021-05-28,Get a Demo: DataSec Auditor for Microsoft 365,40
63,2020-03-09,Ebook: Windows Server Hardening Guide,2
63,2020-03-15,Get a Demo: DataSec Auditor for Windows Server,40
64,2021-01-31,Webinar Attendance: Identity Security Roadmap: Reduce Risk and Stop Identity-Based Attacks,10
65,2020-06-09,Launch In-Browser Demo: DataSec Classification for Synology,15
66,2020-09-24,Ebook: Windows Server Hardening Guide,2
66,2020-09-29,Free Trial: DataSec Auditor for Active Directory,40
67,2020-01-21,DataSec Service Monitor,8
67,2020-01-23,White Paper: HIPAA Compliance for IT Auditors,2
68,2020-10-22,Launch In-Browser Demo: DataSec Auditor for Microsoft 365,15
69,2021-01-28,Get a Demo: DataSec Classification for NetApp,40
69,2021-02-14,Webinar Attendance: Mastering Endpoint Management with DataSec,10
70,2020-08-23,Ebook: Password Policy Best Practices,2
70,2020-09-01,DataSec Account Lockout Examiner,8
70,2020-09-15,Webinar Registration: Active Directory Recommended Practices: Detecting and Remediating Unwanted Persistence,5
70,2020-10-01,White Paper: HIPAA Compliance for IT Auditors,2
71,2020-10-08,DataSec Service Monitor,8
71,2020-10-15,Request a Quote: DataSec Classification for Windows File Servers,40
72,2020-09-11,Launch In-Browser Demo: DataSec Auditor for Active Directory,15
72,2020-09-26,White Paper: HIPAA Compliance for IT Auditors,2
73,2021-04-03,Get a Demo: DataSec Auditor for Active Directory,40
74,2021-05-14,DataSec Inactive User Tracker,8
74,2021-05-20,Free Community Edition: DataSec Auditor for Windows Server: Free Community Edition,15
74,2021-06-07,White Paper: Active Directory Security Best Practices,2
75,2020-05-29,Launch In-Browser Demo: DataSec Auditor for Dell Data Storage,15
76,2021-05-04,Launch In-Browser Demo: DataSec Classification for Qumulo,15
76,2021-05-19,DataSec Effective Permissions Reporting Tool,8
77,2020-03-30,DataSec Effective Permissions Reporting Tool,8
77,2020-04-05,DataSec Account Lockout Examiner,8
77,2020-04-11,"Webinar Attendance: Ransomware Unmasked: Detection, Response, and Resilience",10
77,2020-04-26,Launch In-Browser Demo: DataSec Auditor for Oracle Database,15
78,2020-04-28,Free Community Edition: DataSec Auditor for Exchange: Free Community Edition,15
79,2021-04-26,Launch In-Browser Demo: DataSec Classification for SharePoint,15
79,2021-05-13,DataSec Bulk Password Reset,8
80,2020-10-12,Ebook: Privileged Access Management Fundamentals,2
80,2020-10-13,Free Community Edition: DataSec Auditor for Windows Server: Free Community Edition,15
81,2020-10-28,Free Community Edition: DataSec Auditor for Active Directory: Free Community Edition,15
82,2021-01-21,Free Trial: DataSec Classification for Azure Files,40
83,2020-05-01,Webinar Attendance: Identity Security Roadmap: Reduce Risk and Stop Identity-Based Attacks,10
84,2020-05-23,Launch In-Browser Demo: DataSec Classification for Synology,15
84,2020-05-27,Free Community Edition: DataSec Auditor for SharePoint: Free Community Edition,15
85,2021-06-20,"Webinar Attendance: Ransomware Unmasked: Tactics, Entry Points, and Real-World Lessons",10
85,2021-06-29,White Paper: A Practical Guide to GDPR Compliance,2
86,2020-05-06,Launch In-Browser Demo: DataSec Auditor for Windows File Servers,15
87,2020-08-30,Webinar Attendance: PAM Roadmap: Key Strategies for Effective Deployment and Team Engagement,10
88,2020-12-05,Get a Demo: DataSec Classification for Qumulo,40
88,2020-12-23,Free Community Edition: DataSec Auditor for Active Directory: Free Community Edition,15
89,2020-11-07,DataSec Service Monitor,8
89,2020-11-09,Free Community Edition: DataSec Auditor for Active Directory: Free Community Edition,15
90,2021-05-16,Free Community Edition: DataSec Auditor for VMware: Free Community Edition,15
91,2020-04-28,Get a Demo: DataSec Classification for SharePoint,40
92,2020-07-13,Free Trial: DataSec Auditor for Active Directory,40
93,2020-02-18,Launch In-Browser Demo: DataSec Auditor for Network Devices,15
94,2020-01-17,"Webinar Attendance: Ransomware Unmasked: Detection, Response, and Resilience",10
94,2020-01-28,Webinar Attendance: Enhance Your Data Loss Prevention Strategy with DataSec Endpoint Protector,10
95,2021-05-26,Launch In-Browser Demo: DataSec Classification for Dell Data Storage,15
95,2021-05-30,Webinar Registration: World Password Day: You Still Have Passwords. Now What?,5
96,2020-01-13,Launch In-Browser Demo: DataSec Auditor for Nutanix Files,15
96,2020-01-21,Free Community Edition: DataSec Auditor for Exchange: Free Community Edition,15
97,2020-04-21,Get a Demo: DataSec Classification for Windows File Servers,40
97,2020-05-02,Ebook: Defending Against Crypto-Ransomware,2
98,2020-08-28,DataSec Disk Space Monitor,8
98,2020-08-30,Webinar Registration: Active Directory Recommended Practices: Avoiding and Detecting Unintended Permission Changes,5
99,2021-06-15,Webinar Attendance: Block Insider Threats Where They Start: At the Endpoint,10
99,2021-06-28,White Paper: PCI DSS Compliance Checklist for IT Teams,2
99,2021-07-15,White Paper: Insider Threat Detection Fundamentals,2
100,2020-05-06,Free Trial: DataSec Auditor for Windows Server,40
101,2020-08-06,Launch In-Browser Demo: DataSec Classification for Azure Files,15
102,2020-04-22,DataSec Password Expiration Notifier,8
102,2020-05-03,DataSec Event Log Manager,8
102,2020-05-07,Launch In-Browser Demo: DataSec Auditor for Network Devices,15
102,2020-05-23,Webinar Registration: Group and Identity Management Mastery: Techniques and Best Practices,5
103,2021-01-04,Free Trial: DataSec Classification for Windows File Servers,40
104,2020-11-09,Free Community Edition: DataSec Auditor for Windows File Servers: Free Community Edition,15
105,2021-02-10,Webinar Registration: Windows Server Security Masterclass: Proactively Clearing Attack Surfaces,5
105,2021-02-17,Free Trial: DataSec Auditor for Azure Files,40
106,2020-04-08,White Paper: Insider Threat Detection Fundamentals,2
106,2020-04-19,Launch In-Browser Demo: DataSec Classification for NetApp,15
107,2020-05-23,White Paper: Active Directory Security Best Practices,2
107,2020-05-29,DataSec Inactive User Tracker,8
107,2020-06-02,DataSec Inactive User Tracker,8
108,2020-12-06,Free Trial: DataSec Classification for Dell Data Storage,40
109,2020-03-17,Launch In-Browser Demo: DataSec Auditor for Windows File Servers,15
110,2020-03-07,Ebook: Defending Against Crypto-Ransomware,2
